(24, 71, 2)
(21, 71, 1)
(17, 71, 1)
(-71, 41, 1)
(-71, 26, 2)
(27, -71, 1)
(51, -71, 2)
(72, 7, 2)
(73, -37, 1)
(73, -13, 1)
(73, -1, 0)
(73, 23, 1)
(73, 47, 2)
(73, 71, 2)
(51, 73, 1)
(-3, 73, 1)
(-9, 73, 1)
(-15, 73, 1)
(-17, 73, 1)
(-19, 73, 2)
(-31, 73, 2)
(-33, 73, 1)
(-41, 73, 2)
(-55, 73, 2)
(-73, 17, 1)
(1, -73, 1)
(8, -73, 2)
(9, -73, 1)
(12, -73, 2)
(13, -73, 1)
(19, -73, 1)
(28, -73, 2)
(33, -73, 1)
(41, -73, 1)
(49, -73, 1)
(57, -73, 1)
(63, -73, 1)
(72, -73, 2)
(55, 74, 2)
(-15, 74, 2)
(-23, 74, 2)
(-35, 74, 2)
(-63, 74, 2)
(75, -47, 1)
(75, -31, 1)
(75, -26, 3)
(75, -25, 2)
(75, -17, 1)
(75, -7, 1)
(75, -5, 2)
(75, 58, 2)
(75, 59, 2)
(75, 73, 1)
(75, 74, 2)
(29, 75, 2)
(-75, 73, 1)
(-75, 58, 2)
(-75, 13, 1)
(76, 71, 2)
(45, -76, 3)
(77, -13, 1)
(77, 3, 2)
(77, 15, 2)
(31, 77, 2)
(-77, 53, 1)
(-77, 29, 1)
(-77, 8, 1)
(-77, 5, 2)
(45, -77, 2)
(79, -61, 2)
(79, -19, 1)
(79, -1, 1)
(79, 5, 1)
(79, 11, 1)
(79, 47, 1)
(79, 53, 1)
(75, 79, 1)
(39, 79, 2)
(33, 79, 1)
(-79, 17, 1)
(-79, 5, 1)
(3, -79, 2)
(19, -79, 1)
(43, -79, 2)
(51, -79, 1)
(59, -79, 1)
(-9, 80, 2)
(-17, 80, 2)
(-33, 80, 2)
(-41, 80, 2)
(81, -61, 2)
(81, -53, 2)
(81, -49, 2)
(81, -25, 1)
(81, -4, 1)
(81, -1, 2)
(81, 19, 2)
(81, 23, 1)
(81, 31, 2)
(81, 47, 1)
(81, 71, 1)
(81, 79, 2)
(19, 81, 1)
(-81, 16, 2)
